,Missing_Count,Missing_Percentage
SEQN,0,0.0
MCQ160F,0,0.0
MCQ160M,0,0.0
MCQ160G,0,0.0
MCQ160K,0,0.0
MCQ160O,0,0.0
MCQ160L,0,0.0
MCQ520,0,0.0
MCQ550,0,0.0
MCQ560,0,0.0
MCQ203,0,0.0
MCQ220,0,0.0
MCQ300B,0,0.0
MCQ300C,0,0.0
MCQ300A,0,0.0
MCQ366A,0,0.0
MCQ366B,0,0.0
MCQ366C,0,0.0
MCQ366D,0,0.0
MCQ371A,0,0.0
MCQ371B,0,0.0
MCQ371C,0,0.0
MCQ160E,0,0.0
MCQ371D,0,0.0
MCQ160D,0,0.0
MCQ160B,0,0.0
DSD010,0,0.0
DSD010AN,0,0.0
HEQ010,0,0.0
HEQ030,0,0.0
HIQ011,0,0.0
HUQ010,0,0.0
HUQ020,0,0.0
HUQ030,0,0.0
HUQ051,0,0.0
HUQ071,0,0.0
HUQ090,0,0.0
IMQ011,0,0.0
IMQ020,0,0.0
KIQ022,0,0.0
KIQ026,0,0.0
MCQ010,0,0.0
MCQ053,0,0.0
MCQ080,0,0.0
MCQ092,0,0.0
MCQ160A,0,0.0
MCQ160N,0,0.0
MCQ160C,0,0.0
OCD150,0,0.0
OCD390G,0,0.0
OHQ030,0,0.0
SLQ050,0,0.0
SLQ120,0,0.0
SMQ856,0,0.0
SMQ860,0,0.0
SMQ866,0,0.0
SMQ870,0,0.0
SMQ874,0,0.0
SMQ878,0,0.0
SMQ940,0,0.0
SMQ020,0,0.0
SMDUPCA,0,0.0
SMD100BR,0,0.0
SMQ890,0,0.0
SMQ900,0,0.0
SMQ910,0,0.0
SMAQUEX2,0,0.0
WHD020,0,0.0
WHQ030,0,0.0
WHQ040,0,0.0
WHD050,0,0.0
WHQ225,0,0.0
SLQ040,0,0.0
SLQ030,0,0.0
SLQ330,0,0.0
SLQ320,0,0.0
OHQ845,0,0.0
PAQ605,0,0.0
PAQ620,0,0.0
PAQ635,0,0.0
PAQ650,0,0.0
PAQ665,0,0.0
PFQ049,0,0.0
PFQ051,0,0.0
PFQ054,0,0.0
PFQ057,0,0.0
DSDANCNT,0,0.0
PFQ090,0,0.0
RXDDRUG,0,0.0
RXDDRGID,0,0.0
RXDRSC1,0,0.0
RXDRSC2,0,0.0
RXDRSC3,0,0.0
RXDRSD1,0,0.0
RXDRSD2,0,0.0
RXDRSD3,0,0.0
SLQ300,0,0.0
SLQ310,0,0.0
RXDUSE,0,0.0
DSDCOUNT,0,0.0
WHQ190,0,0.0
DMDHHSIZ,0,0.0
AUQ054,0,0.0
DBQ700,0,0.0
DIQ050,0,0.0
DIQ010,0,0.0
DBQ945,0,0.0
DBQ940,0,0.0
DBQ935,0,0.0
DBQ930,0,0.0
CBQ596,0,0.0
DMDFMSIZ,0,0.0
DMDHHSZA,0,0.0
DMDHHSZB,0,0.0
DMDHHSZE,0,0.0
DMDHRGND,0,0.0
DMDHRAGZ,0,0.0
DBQ197,0,0.0
WTINT2YR,0,0.0
WTMEC2YR,0,0.0
SDMVPSU,0,0.0
DBD895,0,0.0
SDMVSTRA,0,0.0
SIAINTRP,0,0.0
DLQ010,0,0.0
DBQ229,0,0.0
DLQ040,0,0.0
BPQ080,0,0.0
DLQ080,0,0.0
DLQ060,0,0.0
DLQ050,0,0.0
SDDSRVYR,0,0.0
RIDSTATR,0,0.0
RIAGENDR,0,0.0
DLQ020,0,0.0
RIDRETH1,0,0.0
RIDAGEYR,0,0.0
SIAPROXY,0,0.0
RIDRETH3,0,0.0
BPQ020,0,0.0
DMQMILIZ,0,0.0
DMDBORN4,0,0.0
SIALANG,0,0.0
DMDMARTL,0,0.0
DMDEDUC2,0,0.0
WHD140,1,0.02
DBD905,1,0.02
DBD910,2,0.04
DMDCITZN,3,0.05
PAD680,10,0.18
SLD012,47,0.84
WHD010,55,0.99
SLD013,56,1.01
DMDHRMAZ,60,1.08
WHQ150,80,1.44
DLQ110,89,1.6
DLQ140,89,1.6
DLQ150,89,1.6
DLQ100,89,1.6
OHQ033,107,1.92
OHQ770,107,1.92
DMDHREDZ,263,4.72
OHX30RTC,304,5.46
OHX10RTC,304,5.46
OHX11RTC,304,5.46
OHX12RTC,304,5.46
OHX13RTC,304,5.46
OHX14RTC,304,5.46
OHX15RTC,304,5.46
OHX18RTC,304,5.46
OHX20RTC,304,5.46
OHX09RTC,304,5.46
OHX21RTC,304,5.46
OHX22RTC,304,5.46
OHX23RTC,304,5.46
OHX24RTC,304,5.46
OHX25RTC,304,5.46
OHX26RTC,304,5.46
OHX27RTC,304,5.46
OHX28RTC,304,5.46
OHX29RTC,304,5.46
OHX19RTC,304,5.46
OHX08RTC,304,5.46
OHX07RTC,304,5.46
OHX06RTC,304,5.46
OHX11CSC,304,5.46
OHX10CSC,304,5.46
OHX09CSC,304,5.46
OHX14CSC,304,5.46
OHX15CSC,304,5.46
OHX18CSC,304,5.46
OHX19CSC,304,5.46
OHX20CSC,304,5.46
OHX21CSC,304,5.46
OHX22CSC,304,5.46
OHX23CSC,304,5.46
OHX24CSC,304,5.46
OHX25CSC,304,5.46
OHX26CSC,304,5.46
OHX27CSC,304,5.46
OHX28CSC,304,5.46
OHX29CSC,304,5.46
OHX30CSC,304,5.46
OHX31CSC,304,5.46
OHX02RTC,304,5.46
OHX03RTC,304,5.46
OHX04RTC,304,5.46
OHX05RTC,304,5.46
OHX12CSC,304,5.46
OHX31RTC,304,5.46
